job_id,N2 Especialidad
eyJqb2JfdGl0bGUiOiJDb25zdWx0b3IgdGVjbm9sw7NnaWNvIiwiY29tcGFueV9uYW1lIjoiQXRvcyIsImFkZHJlc3NfY2l0eSI6Ik1hZHJpZCwgU3BhaW4iLCJodGlkb2NpZCI6IjNUSzNuRlFhR3VMVTdPT0VBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lGVTNCaGFXNCJ9,Seguridad
eyJqb2JfdGl0bGUiOiJDb25zdWx0b3IvYSBmdW5jaW9uYWwgU0FQIFNEL01NIiwiY29tcGFueV9uYW1lIjoiREVTSUMgfCBDb25zdWx0b3JhIFRlY25vbMOzZ2ljYSIsImFkZHJlc3NfY2l0eSI6IlNwYWluIiwiaHRpZG9jaWQiOiI2djZQMG9BQkhuTGhLSlZ3QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJRlUzQmhhVzQifQ==,Integración
eyJqb2JfdGl0bGUiOiJDb25zdWx0b3IgRGlnaXRhbCAtIE11dHVhQ2l0eSIsImNvbXBhbnlfbmFtZSI6Ik11dHVhIE1hZHJpbGXDsWEiLCJhZGRyZXNzX2NpdHkiOiJDb21tdW5pdHkgb2YgTWFkcmlkLCBTcGFpbiIsImh0aWRvY2lkIjoiN2YxZWN1QUR5bEZvRUZyMUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUZVM0JoYVc0In0=,Integración
eyJqb2JfdGl0bGUiOiJDb25zdWx0b3IvYSBTZW5pb3IgU2VjdG9yIFRNVCAoVGVsZWNvbSwgTWVkaWEsIFRlY25vbG9nw61hKSIsImNvbXBhbnlfbmFtZSI6IkVZIiwiYWRkcmVzc19jaXR5IjoiTWFkcmlkLCBTcGFpbiIsImh0aWRvY2lkIjoidC1DYW9seW5ZOEN3YmUwREFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUZVM0JoYVc0In0=,Seguridad
eyJqb2JfdGl0bGUiOiJDT05TVUxUT1IgREUgTlVFVkFTIFRFQ05PTE9Hw41BUyBZIFRSQU5TRk9STUFDScOTTiBESUdJVEFMIE1BRFJJRCIsImNvbXBhbnlfbmFtZSI6Ik1hbmFnZW1lbnQgU29sdXRpb25zIiwiYWRkcmVzc19jaXR5IjoiTWFkcmlkLCBTcGFpbiIsImh0aWRvY2lkIjoicWF0R2RZRE1FdmRUZEZRN0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUZVM0JoYVc0In0=,Seguridad
eyJqb2JfdGl0bGUiOiJDT05TVUxUT1IgREUgTlVFVkFTIFRFQ05PTE9Hw41BUyBZIFRSQU5TRk9STUFDScOTTiBESUdJVEFMIE1BRFJJRCIsImNvbXBhbnlfbmFtZSI6Ik1hbmFnZW1lbnQgU29sdXRpb25zIiwiYWRkcmVzc19jaXR5IjoiTWFkcmlkLCBTcGFpbiIsImh0aWRvY2lkIjoicWF0R2RZRE1FdmRUZEZRN0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUZVM0JoYVc0In0=,Integración
eyJqb2JfdGl0bGUiOiJFU1BFQ0lBTElTVEEgVMOJQ05JQ08gRU4gU0VHVVJJREFEIERJR0lUQUwiLCJjb21wYW55X25hbWUiOiJUZWxlZsOzbmljYSIsImFkZHJlc3NfY2l0eSI6Ik1hZHJpZCwgU3BhaW4iLCJodGlkb2NpZCI6Ing0UGZwcF9xOW1iVURvalBBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lGVTNCaGFXNCJ9,Seguridad
eyJqb2JfdGl0bGUiOiJFc3BlY2lhbGlzdGEgZW4gU2VndXJpZGFkIEluZm9ybcOhdGljYSB5IEN1bXBsaW1pZW50byBOb3JtYXRpdm8iLCJjb21wYW55X25hbWUiOiJNZXJjYWRvbmEiLCJhZGRyZXNzX2NpdHkiOiJQYXRlcm5hLCBTcGFpbiIsImh0aWRvY2lkIjoib1FXN0N2anJjaWRFQTRTX0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUZVM0JoYVc0In0=,Seguridad
eyJqb2JfdGl0bGUiOiJUw4lDTklDTy9BIEVTUEVDSUFMSVNUQSBFTiBDSUJFUlNFR1VSSURBRCIsImNvbXBhbnlfbmFtZSI6IkNPTkdBTFNBLCBTLkwuIiwiYWRkcmVzc19jaXR5IjoiQSBQb2JyYSBkbyBDYXJhbWnDsWFsLCBTcGFpbiIsImh0aWRvY2lkIjoianF4aXA1aS14c1c0ZXhsb0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUZVM0JoYVc0In0=,Seguridad
eyJqb2JfdGl0bGUiOiJFc3BlY2lhbGlzdGEgZW4gY2liZXJzZWd1cmlkYWQiLCJjb21wYW55X25hbWUiOiJNQUlOSk9CUyBJTlRFUk5BQ0lPTkFMIEVEVUNBVElWQSBZIFRFQ05PTMOTR0lDQSBTLkEuVSIsImFkZHJlc3NfY2l0eSI6IkJhcmNlbG9uYSwgU3BhaW4iLCJodGlkb2NpZCI6IkRWTVF6RFQ0VHlON0NaWHdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lGVTNCaGFXNCJ9,Seguridad
