Variantes (Title),N1 Perfil,N2 Especialidad
Ruby,Desarrollador,Backend
Desarrollador JAVA,Desarrollador,Backend
Desarrolladores Java,Desarrollador,Backend
Desarrollador/a NET,Desarrollador,Backend
Desarrollador .NET,Desarrollador,Backend
Desarrolladores .NET,Desarrollador,Backend
Desarrollador python,Desarrollador,Backend
Desarrollador/a Python,Desarrollador,Backend
Java Developer,Desarrollador,Backend
Desarrollador Nodejs,Desarrollador,Backend
ingeniero en automatización,Desarrollador,RPA
Programador .NET,Desarrollador,Backend
Visual.Net,Desarrollador,Backend
Net Core,Desarrollador,Backend
C++,Desarrollador,Backend
Back-end,Desarrollador,Backend
Backend,Desarrollador,Backend
C#,Desarrollador,Backend
Back end,Desarrollador,Backend
Cobol,Desarrollador,Backend
Developer Node Js,Desarrollador,Backend
spring,Desarrollador,Backend
php,Desarrollador,Backend
Desarrollador/a PHP,Desarrollador,Backend
Desarrollador@ Backend,Desarrollador,Backend
Magento/php,Desarrollador,Backend
Administrador de bases de datos,Desarrollador,Base de datos
Desarrollador de Base de Datos,Desarrollador,Base de datos
Base De Datos Oracle,Desarrollador,Base de datos
Oracle,Desarrollador,Base de datos
DBA,Desarrollador,Base de datos
Ingeniero/a de sistemas y base de datos,Desarrollador,Base de datos
Ingeniero en Ciencia de datos,Desarrollador,Base de datos
Ingeniero de sistemas / Programador Base de Datos,Desarrollador,Base de datos
Gestor de Base de Datos,Desarrollador,Base de datos
Informix,Desarrollador,Base de datos
sql server,Desarrollador,Base de datos
postgresql,Desarrollador,Base de datos
base de datos,Desarrollador,Base de datos
bases de datos,Desarrollador,Base de datos
Administrador Oracle,Desarrollador,Base de datos
DISEÑADOR(A) PAGINA WEB,Diseñador,Diseñador UX
Desarrollador Android,Desarrollador,Mobile
Desarrollador/a IOS,Desarrollador,Mobile
Desarrollador Middle iOS,Desarrollador,Mobile
aplicaciones móviles,Desarrollador,Mobile
aplicaciones moviles,Desarrollador,Mobile
Apps Móviles,Desarrollador,Mobile
Apps Mooviles,Desarrollador,Mobile
Developer iOS Swift,Desarrollador,Mobile
desarrollador movil,Desarrollador,Mobile
android,Desarrollador,Mobile
IOS,Desarrollador,Mobile
analista de mercado,Especialista,Analisis de Datos
Desarrollador front end,Desarrollador,Frontend Web
Desarrollador/a frontend,Desarrollador,Frontend Web
Programador Web,Desarrollador,Frontend Web
Desarrollador/a Front End,Desarrollador,Frontend Web
Front End Developer,Desarrollador,Frontend Web
Developer Front End,Desarrollador,Frontend Web
Desarrollador Aem,Desarrollador,Frontend Web
Desarrollador Frontend,Desarrollador,Frontend Web
Frontend React,Desarrollador,Frontend Web
Desarrollador React,Desarrollador,Frontend Web
Sitios Web,Desarrollador,Frontend Web
Frontend,Desarrollador,Frontend Web
Developer Angular,Desarrollador,Frontend Web
Developer Frontend,Desarrollador,Frontend Web
desarrollador web,Desarrollador,Frontend Web
aplicaciones web,Desarrollador,Frontend Web
Analista Diseño Web,Desarrollador,Frontend Web
Angular Developer,Desarrollador,Frontend Web
FullStack Developer,Desarrollador,Full Stack
fullstack java developer,Desarrollador,Full Stack
Desarrollador Full Stack,Desarrollador,Full Stack
Full-Stack Developer,Desarrollador,Full Stack
Full Stack Developer,Desarrollador,Full Stack
Fullstack Engineer,Desarrollador,Full Stack
Full Stack Junior Developer,Desarrollador,Full Stack
Desarrollador Full-Stack,Desarrollador,Full Stack
Full Stack,Desarrollador,Full Stack
Full-stack,Desarrollador,Full Stack
Developer web full stack,Desarrollador,Full Stack
Desarrollador@ Full Stack,Desarrollador,Full Stack
Desarrolladores fullstack,Desarrollador,Full Stack
analista programador,Desarrollador,Full Stack
desarrollador/a,Desarrollador,Full Stack
Analista/Desarrollador,Desarrollador,Full Stack
Ingeniería De Software,Desarrollador,Full Stack
Ingenieria De Software,Desarrollador,Full Stack
programación y desarrollo,Desarrollador,Full Stack
Robots,Desarrollador,IoT
PLC,Desarrollador,IoT
IoT,Desarrollador,IoT
Desarrollo de Software,Desarrollador,Integración
analista de software,Desarrollador,Integración
ANALISTA EN PROGRAMACIÓN,Desarrollador,Integración
Associate Programmer,Desarrollador,Integración
Consultor de Integración Ibm,Desarrollador,Integración
Consultor en Implementación y Sistemas Integrados,Desarrollador,Integración
Implementación ERP,Desarrollador,Integración
Arquitecto de Software,Desarrollador,Arquitecto de Software
Arquitecto Software,Desarrollador,Arquitecto de Software
