level_0,level_1,Competencia
0,Competencia,.NET
1,Competencia,.NETCore
1,Clasificación,Framework
1,Tipo de desarrollo,Back-end
1,Asociado a...,C#
2,Competencia,Abstract Factory
2,Clasificación,Patrones de diseño y Arquitectura del software
2,Especificación,Patrón de creación
2,Tipo de desarrollo,Back-end
3,Competencia,Aceptación
3,Roles,QA Tester
3,Clasificación,Testing
3,Especificación,Tipo de testing
4,Competencia,Acknowledgement
4,Clasificación,Patrón de resiliencia
5,Competencia,ActiveMQ
5,Especificación,Broker de mensajería
6,Competencia,Adapter
6,Clasificación,Patrones de diseño y Arquitectura del software
6,Especificación,Patrón estructural
6,Tipo de desarrollo,Back-end
7,Competencia,AdonisJS
7,Clasificación,Framework
7,Tipo de desarrollo,Front-end
7,Asociado a...,TypeScript
8,Competencia,Álgebra
8,Clasificación,Matemáticas
8,Tipo de desarrollo,Back-end
8,Asociado a...,Python
9,Competencia,Algoritmia
9,Cursos,Algoritmos y Estructuras de Datos
9,Clasificación,Matemáticas
9,Tipo de desarrollo,Back-end
9,Asociado a...,Python
10,Competencia,Amazon Simple Queue Service (SQS)
10,Especificación,Broker de mensajería
11,Competencia,Android Debug Database
11,Clasificación,Librería
11,Tipo de desarrollo,Back-end
11,Asociado a...,Kotlin
12,Competencia,Angular
12,Clasificación,Framework
12,Tipo de desarrollo,Front-end
12,Asociado a...,TypeScript
13,Competencia,Angular material
13,Clasificación,Librería Modular
13,Tipo de desarrollo,Front-end
13,Asociado a...,TypeScript
14,Competencia,Angular notifier
14,Clasificación,Librería Modular
14,Tipo de desarrollo,Front-end
14,Asociado a...,TypeScript
15,Competencia,Angular split
15,Clasificación,Librería Modular
15,Tipo de desarrollo,Front-end
15,Asociado a...,TypeScript
16,Competencia,AngularJS
16,Clasificación,Framework
16,Tipo de desarrollo,Front-end
16,Asociado a...,JavaScript
17,Competencia,anime.js
17,Clasificación,Librería
17,Tipo de desarrollo,Front-end
17,Asociado a...,JavaScript
18,Competencia,Anko
18,Clasificación,Librería
18,Tipo de desarrollo,Back-end
18,Asociado a...,Kotlin
19,Competencia,Apache AVRO
19,Especificación,Protocolo de comunicación
20,Competencia,Apache Cassandra
20,Clasificación,Base de Datos
20,Especificación,Base de datos no relacional
20,Tipo de desarrollo,Back-end
20,Asociado a...,SQL
21,Competencia,Apache Commons
21,Clasificación,Librería
21,Tipo de desarrollo,Back-end
21,Asociado a...,Java
22,Competencia,Apache Hadoop
22,Roles,Data Scientist
22,Clasificación,Software
22,Asociado a...,Java
23,Competencia,Apache Mesos
23,Especificación,Plataforma de orquestación de contenedores
24,Competencia,Apache Pulsar
24,Especificación,Broker de mensajería
25,Competencia,API First
25,Clasificación,API
25,Especificación,Marco de trabajo API
26,Competencia,Aplicación Web Progresiva (PWA)
26,Clasificación,Software
26,Tipo de desarrollo,Back-end
27,Competencia,Arrow
27,Clasificación,Librería
27,Tipo de desarrollo,Back-end
27,Asociado a...,Kotlin
28,Competencia,ASP .NET
28,Clasificación,Framework
28,Tipo de desarrollo,Back-end
28,Asociado a...,C#
29,Competencia,AWS
29,Cursos,"Introducción a AWS I,Introducción a AWS II,Introducción a AWS III,MLOps en la nube"
29,Clasificación,Cloud
30,Competencia,AWS SDK
30,Clasificación,Librería
30,Tipo de desarrollo,Back-end
30,Asociado a...,PHP
31,Competencia,Azure
31,Clasificación,Cloud
32,Competencia,Azure DevOps
32,Clasificación,CI/CD
33,Competencia,Backbone.js
33,Clasificación,Framework
33,Tipo de desarrollo,"Back-end,Front-end"
33,Asociado a...,JavaScript
34,Competencia,Bamboo
34,Clasificación,CI/CD
35,Competencia,Batching
35,Clasificación,Patrón de resiliencia
36,Competencia,Beego
36,Clasificación,Framework
36,Tipo de desarrollo,Back-end
36,Asociado a...,Golang
37,Competencia,Bitbucket
37,Clasificación,Controlador de versiones
37,Tipo de desarrollo,"Back-end,Front-end"
38,Competencia,Boilerplate
38,Clasificación,Framework
38,Tipo de desarrollo,Front-end
38,Asociado a...,"HTML,CSS"
39,Competencia,Bokeh
39,Clasificación,Librería
39,Tipo de desarrollo,Back-end
39,Asociado a...,Python
40,Competencia,BootStrap
40,Clasificación,Framework
40,Tipo de desarrollo,Front-end
40,Asociado a...,"HTML,CSS"
41,Competencia,Buffalo
41,Clasificación,Framework
41,Tipo de desarrollo,Back-end
41,Asociado a...,Golang
42,Competencia,Butterknife
42,Clasificación,Librería
42,Tipo de desarrollo,Back-end
42,Asociado a...,Kotlin
43,Competencia,C#
43,Clasificación,Lenguaje
43,Tipo de desarrollo,Back-end
44,Competencia,Chart.js
44,Clasificación,Librería
44,Tipo de desarrollo,Front-end
44,Asociado a...,JavaScript
45,Competencia,Code First
45,Clasificación,API
45,Especificación,Marco de trabajo API
46,Competencia,Codeigniter
46,Clasificación,Framework
46,Tipo de desarrollo,Back-end
46,Asociado a...,PHP
47,Competencia,Codemirror
47,Clasificación,Librería
47,Tipo de desarrollo,Front-end
47,Asociado a...,JavaScript
48,Competencia,Command
48,Clasificación,Patrones de diseño y Arquitectura del software
48,Especificación,Patrón de comportamiento
48,Tipo de desarrollo,Back-end
49,Competencia,Couchbase
49,Clasificación,Base de Datos
49,Especificación,Base de datos no relacional
49,Tipo de desarrollo,Back-end
49,Asociado a...,SQL
50,Competencia,CouchDB
50,Clasificación,Base de Datos
50,Especificación,Base de datos no relacional
50,Tipo de desarrollo,Back-end
50,Asociado a...,SQL
51,Competencia,Cramp
51,Clasificación,Framework
51,Tipo de desarrollo,Back-end
51,Asociado a...,Ruby
52,Competencia,Crashlytics
52,Clasificación,Librería
52,Tipo de desarrollo,Back-end
52,Asociado a...,Kotlin
53,Competencia,CSS
53,Roles,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior"
53,Cursos,"Tailwind I,Tailwind II,Tailwind III"
53,Clasificación,Lenguaje
53,Tipo de desarrollo,Front-end
54,Competencia,Cuba
54,Clasificación,Framework
54,Tipo de desarrollo,Back-end
54,Asociado a...,Ruby
55,Competencia,Cucumber
55,Cursos,Testing con Gherkin & Cucumber
55,Clasificación,Testing
55,Especificación,Herramienta de testing
55,Tipo de desarrollo,Back-end
55,Asociado a...,Java
56,Competencia,Cypress
56,Roles,QA Tester
56,Cursos,Automatización de pruebas con Cypress
56,Clasificación,Testing
56,Especificación,Herramienta de testing
56,Tipo de desarrollo,Front-end
56,Asociado a...,JavaScript
57,Competencia,D3.js
57,Clasificación,Librería
57,Tipo de desarrollo,Front-end
57,Asociado a...,JavaScript
58,Competencia,Dagger
58,Clasificación,Librería
58,Tipo de desarrollo,Back-end
58,Asociado a...,Kotlin
59,Competencia,Data Wrangling
59,Clasificación,Proceso
59,Tipo de desarrollo,Back-end
59,Asociado a...,"Python,SQL"
60,Competencia,Datadog
60,Clasificación,Monitorización
61,Competencia,Daux.io
61,Clasificación,Librería
61,Tipo de desarrollo,Back-end
61,Asociado a...,PHP
62,Competencia,DB2
62,Clasificación,Base de Datos
62,Especificación,Base de datos relacional
62,Tipo de desarrollo,Back-end
62,Asociado a...,SQL
63,Competencia,Debbuging
63,Cursos,Software Debugging
63,Clasificación,Proceso
63,Tipo de desarrollo,Back-end
64,Competencia,Decorator
64,Clasificación,Patrones de diseño y Arquitectura del software
64,Especificación,Patrón estructural
64,Tipo de desarrollo,Back-end
65,Competencia,Deep Learning
65,Roles,Data Scientist
65,Especificación,Artificial Intelligence
65,Tipo de desarrollo,Back-end
66,Competencia,Deno
66,Cursos,Introducción a Deno
66,Clasificación,Programa
66,Tipo de desarrollo,Back-end
66,Asociado a...,"JavaScript,TypeScript"
67,Competencia,Design Systems
67,Cursos,"Design Systems I,Design Systems Parte II"
67,Especificación,Diseño UX/UI
67,Tipo de desarrollo,Front-end
68,Competencia,Django
68,Roles,Data Scientist
68,Clasificación,Framework
68,Tipo de desarrollo,Back-end
68,Asociado a...,Python
69,Competencia,Docker
69,Especificación,Contenedor
70,Competencia,Docker Swarm
70,Especificación,Plataforma de orquestación de contenedores
71,Competencia,Dompdf
71,Clasificación,Librería
71,Tipo de desarrollo,Back-end
71,Asociado a...,PHP
72,Competencia,Dragula
72,Clasificación,Librería Modular
72,Tipo de desarrollo,Front-end
72,Asociado a...,TypeScript
73,Competencia,DRY
73,Clasificación,Buena práctica
73,Especificación,Clean Code
74,Competencia,Dynatrace
74,Clasificación,Monitorización
75,Competencia,Eartho One
75,Clasificación,Librería Modular
75,Tipo de desarrollo,Front-end
75,Asociado a...,JavaScript
76,Competencia,Echo
76,Clasificación,Framework
76,Tipo de desarrollo,Back-end
76,Asociado a...,Golang
77,Competencia,Elasticsearch
77,Cursos,Monitorización con Elasticsearch
77,Clasificación,Motor de búsqueda
78,Competencia,Element Plus
78,Clasificación,Librería Modular
78,Tipo de desarrollo,Front-end
78,Asociado a...,JavaScript
79,Competencia,ELK Stack
79,Clasificación,Monitorización
80,Competencia,Ember.js
80,Clasificación,Framework
80,Tipo de desarrollo,Front-end
80,Asociado a...,JavaScript
81,Competencia,End to End
81,Roles,QA Tester
81,Clasificación,Testing
81,Especificación,Tipo de testing
81,Tipo de desarrollo,Front-end
82,Competencia,Entity
82,Clasificación,Framework
82,Tipo de desarrollo,Back-end
82,Asociado a...,C#
83,Competencia,Estadística
83,Cursos,Estadística Descriptiva y Estadística Inferencial
83,Clasificación,Matemáticas
83,Tipo de desarrollo,Back-end
83,Asociado a...,Python
84,Competencia,Estructura de datos
84,Cursos,Algoritmos y Estructuras de Datos
84,Clasificación,Base de Datos
84,Tipo de desarrollo,Back-end
85,Competencia,Excel
85,Clasificación,Software
85,Tipo de desarrollo,Back-end
86,Competencia,eXtreme Programming
86,Clasificación,Software
86,Tipo de desarrollo,Back-end
87,Competencia,Facade
87,Clasificación,Patrones de diseño y Arquitectura del software
87,Especificación,Patrón estructural
87,Tipo de desarrollo,Back-end
88,Competencia,Factory Method
88,Clasificación,Patrones de diseño y Arquitectura del software
88,Especificación,Patrón de creación
88,Tipo de desarrollo,Back-end
89,Competencia,Failover
89,Clasificación,Patrón de resiliencia
90,Competencia,FeatherJS
90,Clasificación,Framework
90,Tipo de desarrollo,Front-end
90,Asociado a...,TypeScript
91,Competencia,Fiber
91,Clasificación,Framework
91,Tipo de desarrollo,Back-end
91,Asociado a...,Golang
92,Competencia,Figma
92,Cursos,Figma
92,Clasificación,Programa
92,Especificación,Diseño UX/UI
92,Tipo de desarrollo,Front-end
93,Competencia,Flask
93,Clasificación,Framework
93,Tipo de desarrollo,Back-end
93,Asociado a...,Python
94,Competencia,Flexbox
94,Cursos,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid
