Tabla M,nombre_dividido,standard_company_name,Estado
2k,['2k'],2K Games,Correcto
2k,['2k'],2K Games,Correcto
2k games,"['2k', 'games']",2K Games,Correcto
2k madrid,"['2k', 'madrid']",2K Games,Correcto
abai,['abai'],Abai Business Solutions,Correcto
abai business solutions,"['abai', 'business', 'solutions']",Abai Business Solutions,Correcto
abb,['abb'],ABB Group,Correcto
abb schweiz ag,"['abb', 'schweiz', 'ag']",ABB Group,Correcto
abbott,['abbott'],Abbott Laboratories,Correcto
abbott laboratories,"['abbott', 'laboratories']",Abbott Laboratories,Correcto
accenture,['accenture'],Accenture,Correcto
accenture españa,"['accenture', 'españa']",Accenture,Correcto
acciona,['acciona'],Acciona,Correcto
acciona,['acciona'],Acciona,Correcto
acciona energía,"['acciona', 'energía']",Acciona,Correcto
accude,['accude'],Accude TI,Correcto
accude ti,"['accude', 'ti']",Accude TI,Correcto
accuro technology,"['accuro', 'technology']",Accuro Technology,Correcto
accuro technology s.l,"['accuro', 'technology', 's.l']",Accuro Technology,Correcto
acertto talent linkers,"['acertto', 'talent', 'linkers']",Acertto Talent Linkers,Correcto
acertto talent linkers sa,"['acertto', 'talent', 'linkers', 'sa']",Acertto Talent Linkers,Correcto
acertto talent linkers | local & global recruiment | headhunters,"['acertto', 'talent', 'linkers', '|', 'local', '&', 'global', 'recruiment', '|', 'headhunters']",Acertto Talent Linkers,Correcto
acrelec,['acrelec'],Acrelec,Correcto
acrelec,['acrelec'],Acrelec,Correcto
acs informaticos,"['acs', 'informaticos']",ACS Informáticos,Correcto
acs informaticos,"['acs', 'informaticos']",ACS Informáticos,Correcto
acs informaticos,"['acs', 'informaticos']",ACS Informáticos,Correcto
addyou,['addyou'],AddYou,Correcto
addyou,['addyou'],AddYou,Correcto
adecco,['adecco'],Adecco,Correcto
adecco,['adecco'],Adecco,Correcto
adecco outsourcing,"['adecco', 'outsourcing']",Adecco,Correcto
adecco outsourcing,"['adecco', 'outsourcing']",Adecco,Correcto
adecco staffing,"['adecco', 'staffing']",Adecco,Correcto
aderen,['aderen'],Aderen Consulting,Correcto
aderen,['aderen'],Aderen Consulting,Correcto
advanced radar technologies,"['advanced', 'radar', 'technologies']",Advanced Radar Technologies,Correcto
advanced technological knowledge s.a. (atk),"['advanced', 'technological', 'knowledge', 's.a.', '(atk)']",ATK Soluciones,Correcto
aegon,['aegon'],Aegon Seguros,Correcto
aegon seguros,"['aegon', 'seguros']",Aegon Seguros,Correcto
agap2,['agap2'],agap2,Correcto
agap2,['agap2'],agap2,Correcto
agap2 españa,"['agap2', 'españa']",agap2,Correcto
agencia de marketing digital,"['agencia', 'de', 'marketing', 'digital']",Agencia,Correcto
agencia de publicidad y comunicación corporativa,"['agencia', 'de', 'publicidad', 'y', 'comunicación', 'corporativa']",Agencia,Correcto
agencia de viajes online,"['agencia', 'de', 'viajes', 'online']",Agencia,Correcto
agencia enbloque,"['agencia', 'enbloque']",Agencia EnBloque,Correcto
