especialidad_id,N2 Especialidad
1,Backend
2,RPA
3,Base de datos
4,Diseñador UX
5,Mobile
6,Analisis de Datos
7,Frontend Web
8,Full Stack
9,IoT
10,Integración
11,Arquitecto de Software
12,Videojuegos
13,
14,Data Science
15,Data Engineer
16,Machine Learning & IA
17,SRE (Software Release Engineer)
18,Diseñador Gráfico
19,Infraestructura cloud
20,Mantenimiento y Soporte
21,Seguridad
22,Redes y Comunicaciones
23,Servidores y aplicaciones
24,Arquitecto Cloud
25,Tester funcional
26,Gerente de Proyectos
27,Analista de Proyectos
28,Coordinador
29,Analista TI
30,Arquitecto TI
31,Analista de Calidad
32,Analista de Procesos
33,Analista de Riesgos
34,Arquitecto de Soluciones
35,Arquitecto de Datos
36,Analisis Funcional
37,Consultor SAP
38,Desarrollador SAP
39,Arquitecto de Sistemas SAP
40,Salesforce
41,Marketing
42,Manager
43,Trainee
44,Consultor
45,Inside Sales
