competencia_id,Competencia
1,.NET
2,.NETCore
3,Abstract Factory
4,Aceptación
5,Acknowledgement
6,ActiveMQ
7,Adapter
8,AdonisJS
9,Álgebra
10,Algoritmia
11,Amazon Simple Queue Service (SQS)
12,Android Debug Database
13,Angular
14,Angular material
15,Angular notifier
16,Angular split
17,AngularJS
18,anime.js
19,Anko
20,Apache AVRO
21,Apache Cassandra
22,Apache Commons
23,Apache Hadoop
24,Apache Mesos
25,Apache Pulsar
26,API First
27,Aplicación Web Progresiva (PWA)
28,Arrow
29,ASP .NET
30,AWS
31,AWS SDK
32,Azure
33,Azure DevOps
34,Backbone.js
35,Bamboo
36,Batching
37,Beego
38,Bitbucket
39,Boilerplate
40,Bokeh
41,BootStrap
42,Buffalo
43,Butterknife
44,C#
45,Chart.js
46,Code First
47,Codeigniter
48,Codemirror
49,Command
50,Couchbase
51,CouchDB
52,Cramp
53,Crashlytics
54,CSS
55,Cuba
56,Cucumber
57,Cypress
58,D3.js
59,Dagger
60,Data Wrangling
61,Datadog
62,Daux.io
63,DB2
64,Debbuging
65,Decorator
66,Deep Learning
67,Deno
68,Design Systems
69,Django
70,Docker
71,Docker Swarm
72,Dompdf
73,Dragula
74,DRY
75,Dynatrace
76,Eartho One
77,Echo
78,Elasticsearch
79,Element Plus
80,ELK Stack
81,Ember.js
82,End to End
83,Entity
84,Estadística
85,Estructura de datos
86,Excel
87,eXtreme Programming
88,Facade
89,Factory Method
90,Failover
91,FeatherJS
92,Fiber
93,Figma
94,Flask
95,Flexbox
96,Flexbox Layout
97,Foundation
98,Funcionales
99,Gaelyk
100,Gherkin
101,Gin
102,GIT
103,GitHub
104,GitLab
105,Glide
106,Golang
107,Google Cloud
108,Google Cloud Pub/Sub
109,Gorilla
110,Grafana
111,Grails
112,GraphQL
113,Grid
114,Groovy
115,gRPC
116,Gson
117,Guava
118,Gumby
119,Hammer.js
120,Hanami
121,Hexagonal
122,Hibernate
123,Hipertable
124,HTML
125,IBM Cloud
126,Imagine
127,Instaphp
128,Integración
129,Iris
130,Jackson
131,Java
132,JavaScript
133,Jenkins
134,Jest
135,Jira
136,JMeter
137,jQuery
138,JSON
139,Junit
140,Kafka
141,Kanban
142,Kickstart
143,KISS
144,Koin
145,Kotlin
146,Ktor
147,Kubernetes
148,Laravel
149,Latitude
150,LeakCanary
151,Less
152,Linux
153,Log4j2
154,LoopbackJS
155,Lottie
156,Lotus
157,LXC/LCD
158,Machine Learning
159,Machine Learning Debugging
160,Mango
161,MariaDB
162,Markdown
163,Martini
164,Material UI
165,Materialize
166,MaterialToast
167,MathJS
168,MATLAB
169,Matplotlib
170,Mercurial
171,Mercury.js
172,Micronaut
173,Microservicios
174,Microsoft SQL Server
175,Mocha
176,Mockito
177,Modelo-Vista-Controlador (MVC)
178,Moment.js
179,MongoDB
180,Montage
181,MPAndroidChart
182,MySQL
183,Nagios
184,Neo4j
185,NestJS
186,NewRelic
187,Next.js
188,NG animate
189,NG Bootstrap
190,NgRx
191,NGX Admin
192,NGX Charts
193,NGX Cookie
194,Node
195,Nomad
196,Numpy
197,Oauth 2.0 Server
198,ObjectBox
199,Observer
200,OneSignal
201,OpenStack
202,Oracle
203,Oracle Cloud
204,Pandas
205,Partitioning
206,PHP
207,PHP VCR
208,PHPExcel
209,PHPUnit
210,Playwright
211,Podman
212,PostgreSQL
213,Power BI
214,PrimeNG
215,Prisma
216,Probabilidad
217,Prometheus
218,Protocol Buffers
219,Purl
220,Pyramid
221,Python
222,PyTorch
223,Quasar
224,QuestDB
225,RabbitMQ
226,Rack
227,Ramda
228,Ratpack
229,React Native
230,React Router DOM
231,React Testing Library
232,ReactJS
233,Realms
234,Redis
235,Redux
236,Regresión
237,Rendimiento o carga
238,Replicación
239,Requery
240,REST
241,RESTFull
242,Revel
243,Riak
244,RKT
245,Room
246,Ruby
247,Ruby on Rails
248,RxJava
249,SASS
250,Scikit-learn
251,Scrum
252,Seaborn
253,Selenium
254,Serverless
255,Shimmer
256,Simulink
257,Sinatra
258,Singleton
259,Skeleton
260,SLF4J
261,SOAP
262,Socket.IO
263,SOLID
264,Sonar
265,Spark
266,Spring
267,Spring Boot
268,Spring Cloud
269,Spring Data
270,Spring MVC
271,Spring Security
272,Spring web flux
273,SproutCore
274,SQL
275,Stetho
276,Strategy
277,Streamlit
278,Struts
279,Svelte
280,SVN
281,Symfony
282,Tableau
283,TDD
284,TeamCity
285,TensorFlow
286,Thrift
287,Timeouts
288,Travis
289,TypeScript
290,Unified Modeling Language
291,Unitarios
292,Unity
293,Vert.x
294,Volt
295,VueJS
296,Vuetify
297,Xamarin
298,XML
299,YAGNI
300,Zabbix
301,Zebra
302,Zend
303,Test Double
304,JPA
305,MyBatis
306,Ionic
307,Spring Batch
308,Apache Cordova
309,ASO
310,APX
311,Cells
312,Swift
313,Preprocesamiento de datos
314,Data mining
315,R
316,Diseño UX/UI
317,Project Management
318,Design thinking
319,Husky
320,Commitlint
321,Programación reactiva
322,Headless CMS
323,Pascal
324,360-degree video
325,3D Animation
326,3D Design
327,3D Model Maker
328,3D Modelling
329,3D Printing
330,3D Rendering
331,3ds Max
332,4D
333,Academic Writing
334,Accounting
335,ActionScript
336,Active Directory
337,Ad Planning / Buying
338,Adobe Air
339,Adobe Captivate
340,Adobe Dreamweaver
341,Adobe Fireworks
342,Adobe Flash
343,Adobe InDesign
344,Adobe Lightroom
345,Adobe LiveCycle Designer
346,Adobe Premiere Pro
347,Advertisement Design
348,Advertising
349,Aeronautical Engineering
350,Aerospace Engineering
351,Affiliate Marketing
352,Afrikaans
353,After Effects
354,Agile Development
355,Agronomy
356,Air Conditioning
357,Airbnb
358,AJAX
359,Albanian
360,Algorithm
361,Alibaba
362,Amazon Fire
363,Amazon Kindle
364,Amazon Web Services
365,AMQP
366,Analytics
367,Android
368,Android Honeycomb
369,Android Wear SDK
370,Angular.js
371,Animation
372,Antenna Services
373,Anything Goes
374,Apache
375,Apache Ant
376,Apache Solr
377,App Designer
378,App Developer
379,Appcelerator Titanium
380,Apple Compressor
381,Apple iBooks Author
382,Apple Logic Pro
383,Apple Motion
384,Apple Safari
385,Apple Watch
386,Applescript
387,Appliance Installation
388,Appliance Repair
389,Arabic
390,Arduino
391,Argus Monitoring Software
392,Article Rewriting
393,Article Submission
394,Articles
395,Artificial Intelligence
396,Arts / Crafts
397,AS400 / iSeries
398,Asbestos Removal
399,ASP
400,ASP.NET
401,Asphalt
402,Assembly
403,Asterisk PBX
404,Astrophysics
405,Attic Access Ladders
406,Attorney
407,Audio Production
408,Audio Services
409,Audit
410,Augmented Reality
411,AutoCAD
412,Autodesk Inventor
413,Autodesk Revit
414,AutoHotkey
415,Automotive
416,Autotask
417,Awnings
418,Axure
419,backbone.js
420,Balsamiq
421,Balustrading
422,Bamboo Flooring
423,Banner Design
424,Basque
425,Bathroom
426,Bengali
427,Big Data
428,BigCommerce
429,Binary Analysis
430,Biology
431,Biotechnology
432,Bitcoin
433,Biztalk
434,Blackberry
435,Blog
436,Blog Design
437,Blog Install
438,Bluetooth Low Energy (BLE)
439,BMC Remedy
440,Book Artist
441,Book Writing
442,Bookkeeping
443,Boonex Dolphin
